"TIME","CH1","CH2","CH3"
-1.8932e+00,-0.05,-0.02,-0.04
-1.8928e+00,-0.06,-0.01,0
-1.8924e+00,-0.04,0.03,0.01
-1.8920e+00,-0.04,0,-0.03
-1.8916e+00,-0.09,-0.03,-0.05
-1.8912e+00,-0.08,-0.02,-0.01
-1.8908e+00,-0.08,-0.01,0
-1.8904e+00,-0.05,0,0.01
-1.8900e+00,-0.08,0.02,-0.01
-1.8896e+00,-0.09,-0.01,-0.01
-1.8892e+00,-0.05,0.01,-0.01
-1.8888e+00,-0.02,0.02,0.02
-1.8884e+00,-0.03,-0.01,0
-1.8880e+00,-0.04,0,-0.01
-1.8876e+00,-0.04,-0.01,-0.01
-1.8872e+00,-0.04,0.01,0.01
-1.8868e+00,-0.03,0.02,0
-1.8864e+00,0.02,0,0
-1.8860e+00,1.42109e-16,-0.01,0
-1.8856e+00,0.01,0,0
-1.8852e+00,0.05,0.01,0
-1.8848e+00,0.07,0.01,0
-1.8844e+00,0.02,0,0
-1.8840e+00,0.04,-0.02,-0.01
-1.8836e+00,0.06,-0.01,0.02
-1.8832e+00,0.06,0.02,0.02
-1.8828e+00,0.1,0.02,0.01
-1.8824e+00,0.06,0.01,-0.01
-1.8820e+00,0.07,-0.02,-0.01
-1.8816e+00,0.07,0.02,-0.01
-1.8812e+00,0.06,0,0.02
-1.8808e+00,0.05,0,-0.01
-1.8804e+00,0.01,-0.01,-0.03
-1.8800e+00,0.03,-0.02,-0.01
-1.8796e+00,0.07,0.02,0
-1.8792e+00,0.03,0.02,-0.01
-1.8788e+00,0.03,0,-0.01
-1.8784e+00,-0.03,-0.03,-0.01
-1.8780e+00,-0.06,-0.01,-0.02
-1.8776e+00,0.01,-0.01,0.02
-1.8772e+00,-0.02,0,0
-1.8768e+00,-0.05,0.01,-0.01
-1.8764e+00,-0.06,-0.01,-0.03
-1.8760e+00,-0.06,-0.01,0
-1.8756e+00,-0.05,0,0
-1.8752e+00,-0.03,0.02,-0.01
-1.8748e+00,-0.08,-0.01,-0.01
