[-29, 1, -1, -6, 26, -1, -26, -34]
[15, -1, -44, 4, 3, -16, 4, 26]
[21, 41, 6, -5, -16, 2, 66, 6]
[12, 94, 5, -3, -19, -22, -51, -11]
[71, -6, -9, -4, -35, 6, 31, -16]
[-23, -4, 6, -9, -11, 4, 10, 90]
[11, 28, 13, 17, 29, 3, 46, -30]
[-33, -74, -20, -22, 14, 115, 70, 26]
[-9, 17, -3, -5, -2, -16, 5, -29]
[15, 11, -10, -2, 4, 2, 26, 42]
[-25, -51, 7, 6, 3, 20, 6, -49]
[34, 13, 13, 21, 25, -95, -48, 31]
[6, -66, -18, -3, 18, 0, 31, -29]
[92, 72, -6, -12, -8, 11, 13, -44]
[-49, 3, -7, -5, -8, 31, -35, 26]
[58, -78, -11, -4, 9, -43, -95, 58]
[13, -6, 5, 13, 6, -15, 29, 21]
[-10, -5, -1, 16, 58, -12, 20, -103]
[13, 27, 6, 2, 9, 8, -19, 58]
[12, -37, 11, 11, -28, -2, -2, -6]
[13, 19, -9, 0, -17, -52, 4, 46]
[-34, 27, -2, 0, 13, -28, -6, -41]
[34, 2, 2, -2, 7, 0, -47, 63]
[-10, -33, 2, 6, 18, -3, -34, -33]
[29, 43, -3, 0, -32, 10, 4, -34]
[1, 47, -5, -20, -44, 34, 30, 45]
[93, -50, 0, 12, 20, 10, -21, 7]
[-39, 11, -13, -20, -44, 18, 27, -60]
[-8, -1, 3, -6, 9, -10, 15, 27]
[3, -8, -2, 1, -3, -24, 43, 72]
[-11, 3, 0, -10, -11, 8, -52, 15]
[37, 39, 7, 7, 19, -5, 15, 23]
[12, 41, 4, 15, 11, 3, -36, -15]
[4, -24, 1, -1, 11, -5, -31, -67]
[-22, -7, -9, 5, 17, -6, 8, -7]
[15, 8, -8, 0, -4, -13, 39, 3]
[-40, -29, 0, -3, 3, 15, -6, 5]
[-5, 5, -8, 6, 17, 17, 50, 4]
[3, -11, 2, -2, 6, 105, -6, -1]
[7, 7, 1, 6, 16, 94, 17, 10]
[-61, -9, 2, -2, -9, -62, -12, -4]
[-18, -2, -2, -4, -22, -128, -73, -10]
[13, -3, -4, -10, -7, 80, 6, -4]
[0, 1, -3, -6, -8, -15, 7, -7]
[2, -1, -2, 1, 8, 4, -52, 0]
[0, 1, 0, 1, 7, 31, 10, -3]
[0, -3, -2, -5, -13, -60, -56, 0]
[11, 1, -3, 0, 3, 4, 10, -4]
[16, 5, 5, 8, 22, 77, 39, 11]
[6, 2, 2, -1, 4, 49, 21, 2]
[-5, -3, -2, -4, -11, -75, -50, -6]
[-5, -2, -2, 0, 8, 58, -3, 1]
[0, 0, -1, 0, -3, -11, -19, 0]
[-3, -3, 1, -1, 0, -37, -39, -1]
[6, 3, 0, -1, 3, 12, 2, -2]
[-8, -2, 3, 1, 6, 6, 2, -1]
[2, 0, 2, 3, 8, 66, 87, 15]
[-2, -2, 0, 1, -6, 29, 19, 2]
[-1, -3, -2, -1, 15, 55, -15, -1]
[1, -1, -1, 3, 4, 14, 3, -9]
[-2, 0, 1, 0, 0, -15, 26, 7]
[1, -1, -2, -2, -4, -13, -3, 1]
[-1, -1, -1, -3, -5, 5, -2, -3]
[-1, 0, 0, -2, -3, -26, 0, 4]
[0, 5, 0, 0, 1, 26, 16, 2]
