"TIME","CH1","CH2","CH3"
-9.582e-01,1.42109e-16,0.01,0.02
-9.580e-01,0.01,0.01,0.01
-9.578e-01,0.02,0,0
-9.576e-01,-0.01,0.01,0.02
-9.574e-01,1.42109e-16,0.01,0.01
-9.572e-01,-0.02,0,0
-9.570e-01,-0.02,0.03,0.01
-9.568e-01,0.02,0.02,0.02
-9.566e-01,-0.02,0.01,0.02
-9.564e-01,-0.02,0.01,0.02
-9.562e-01,0.02,0.01,0.02
-9.560e-01,-0.01,0.02,0.01
-9.558e-01,0.02,0.01,0.01
-9.556e-01,-0.01,0.02,0.01
-9.554e-01,-0.01,0.02,0
-9.552e-01,-0.01,0.01,-0.01
-9.550e-01,-0.01,0,-0.01
-9.548e-01,-0.01,0.02,-0.01
-9.546e-01,-0.01,-0.01,0.01
-9.544e-01,-0.04,0.01,0
-9.542e-01,1.42109e-16,0.01,-0.01
-9.540e-01,-0.02,0,0
-9.538e-01,1.42109e-16,0.01,-0.01
-9.536e-01,-0.01,0.01,0
-9.534e-01,1.42109e-16,0,-0.02
-9.532e-01,0.02,0,0
-9.530e-01,-0.01,-0.03,0
-9.528e-01,1.42109e-16,0,-0.02
-9.526e-01,-0.02,-0.01,-0.02
-9.524e-01,-0.02,-0.02,0
-9.522e-01,1.42109e-16,-0.01,-0.01
-9.520e-01,-0.01,0,-0.01
-9.518e-01,-0.01,-0.02,0
-9.516e-01,1.42109e-16,0.01,-0.01
-9.514e-01,0.01,-0.02,-0.01
-9.512e-01,-0.01,-0.01,-0.03
-9.510e-01,-0.01,-0.01,-0.04
-9.508e-01,1.42109e-16,-0.03,-0.04
-9.506e-01,0.02,-0.02,-0.03
-9.504e-01,0.02,0,-0.03
-9.502e-01,-0.01,-0.01,-0.03
-9.500e-01,-0.01,-0.01,-0.01
-9.498e-01,-0.03,-0.02,-0.02
-9.496e-01,0.01,-0.03,-0.01
-9.494e-01,1.42109e-16,-0.01,-0.03
-9.492e-01,1.42109e-16,-0.01,-0.04
-9.490e-01,-0.01,0,-0.01
-9.488e-01,0.01,0.01,-0.01
-9.486e-01,1.42109e-16,-0.02,-0.03
-9.484e-01,1.42109e-16,-0.01,-0.02
-9.482e-01,-0.01,-0.01,-0.01
-9.480e-01,1.42109e-16,-0.01,-0.02
-9.478e-01,-0.01,-0.02,-0.01
-9.476e-01,1.42109e-16,-0.02,-0.03
-9.474e-01,-0.01,-0.02,-0.03
-9.472e-01,0.01,-0.03,-0.01
-9.470e-01,-0.01,-0.01,-0.01
-9.468e-01,1.42109e-16,-0.01,0
-9.466e-01,0.01,0.01,-0.01
-9.464e-01,-0.01,0.01,0.01
-9.462e-01,1.42109e-16,0.01,-0.01
-9.460e-01,-0.01,0.01,-0.01
-9.458e-01,-0.02,0,0
-9.456e-01,-0.01,-0.01,-0.01
-9.454e-01,-0.02,-0.01,0
-9.452e-01,-0.01,-0.01,0
-9.450e-01,-0.04,-0.01,0
-9.448e-01,0.01,0.01,0
-9.446e-01,0.01,0,0
-9.444e-01,-0.01,-0.01,0
-9.442e-01,-0.02,0.03,0.01
-9.440e-01,1.42109e-16,0.01,0
-9.438e-01,-0.01,-0.01,0.01
-9.436e-01,1.42109e-16,0.02,-0.01
-9.434e-01,-0.02,0,0.01
-9.432e-01,1.42109e-16,0.01,0
-9.430e-01,0.01,0.02,0.03
-9.428e-01,-0.01,0.01,0.02
-9.426e-01,0.01,-0.01,0.01
-9.424e-01,1.42109e-16,0.03,0.02
-9.422e-01,-0.02,-0.01,0.04
-9.420e-01,-0.01,0.01,0.01
-9.418e-01,-0.03,0.01,0.02
-9.416e-01,-0.01,0,0.01
-9.414e-01,1.42109e-16,0.01,0.02
-9.412e-01,-0.03,-0.01,-0.01
-9.410e-01,-0.01,0.01,0.01
-9.408e-01,1.42109e-16,0,0.02
-9.406e-01,-0.02,-0.01,0.02
-9.404e-01,1.42109e-16,0.03,0.01
-9.402e-01,-0.01,0.01,0.02
-9.400e-01,1.42109e-16,0.02,0
-9.398e-01,-0.01,0,-0.01
-9.396e-01,-0.02,0.02,0.03
-9.394e-01,-0.02,-0.01,0
-9.392e-01,-0.02,0.02,0
-9.390e-01,0.02,0.02,0.02
-9.388e-01,-0.01,0,0.01
-9.386e-01,-0.03,-0.01,0.01
-9.384e-01,-0.01,0.02,0
-9.382e-01,1.42109e-16,0,0
-9.380e-01,-0.01,0.01,0
-9.378e-01,1.42109e-16,0,-0.01
-9.376e-01,-0.01,-0.01,-0.01
-9.374e-01,-0.01,0.01,-0.01
-9.372e-01,1.42109e-16,-0.01,0
-9.370e-01,1.42109e-16,0.01,0
-9.368e-01,1.42109e-16,-0.01,0
-9.366e-01,1.42109e-16,0,-0.01
-9.364e-01,-0.01,-0.01,-0.01
-9.362e-01,-0.02,-0.01,0
-9.360e-01,1.42109e-16,-0.02,-0.01
-9.358e-01,-0.01,0,-0.01
-9.356e-01,-0.02,-0.01,-0.01
-9.354e-01,0.01,-0.03,-0.01
-9.352e-01,1.42109e-16,-0.02,-0.03
-9.350e-01,-0.02,0.01,-0.03
-9.348e-01,-0.01,-0.02,-0.01
-9.346e-01,-0.01,-0.01,-0.04
-9.344e-01,-0.01,-0.04,-0.02
-9.342e-01,-0.01,-0.03,-0.02
-9.340e-01,-0.02,-0.01,-0.01
-9.338e-01,0.01,-0.01,-0.01
-9.336e-01,-0.03,-0.02,-0.04
-9.334e-01,1.42109e-16,-0.02,-0.03
-9.332e-01,-0.01,-0.01,-0.02
-9.330e-01,-0.01,0,-0.01
-9.328e-01,-0.01,0,-0.02
-9.326e-01,1.42109e-16,-0.02,-0.01
-9.324e-01,-0.01,-0.02,-0.05
-9.322e-01,-0.01,0,-0.01
-9.320e-01,-0.01,-0.03,-0.02
-9.318e-01,-0.01,-0.02,-0.03
-9.316e-01,-0.01,-0.01,-0.02
-9.314e-01,-0.02,0,-0.01
-9.312e-01,-0.01,-0.02,-0.03
-9.310e-01,-0.03,-0.01,-0.02
-9.308e-01,1.42109e-16,-0.02,-0.02
-9.306e-01,1.42109e-16,-0.04,-0.03
-9.304e-01,0.01,0,-0.02
-9.302e-01,0.02,-0.01,0
-9.300e-01,1.42109e-16,-0.02,0
-9.298e-01,-0.01,-0.02,-0.01
-9.296e-01,-0.03,-0.02,-0.02
-9.294e-01,0.02,0.01,-0.02
-9.292e-01,-0.01,0.02,-0.02
-9.290e-01,-0.03,0.01,0
-9.288e-01,-0.01,0,-0.01
-9.286e-01,-0.02,0,-0.01
-9.284e-01,-0.01,-0.02,-0.01
-9.282e-01,0.02,0.01,-0.01
-9.280e-01,1.42109e-16,0.02,0
-9.278e-01,1.42109e-16,0,-0.01
-9.276e-01,-0.01,-0.01,0
-9.274e-01,1.42109e-16,0.01,0.02
-9.272e-01,1.42109e-16,0.01,0
-9.270e-01,1.42109e-16,0,0
-9.268e-01,1.42109e-16,0.01,0.01
-9.266e-01,1.42109e-16,0.03,0.01
-9.264e-01,-0.01,0.01,0.02
-9.262e-01,-0.01,0.03,0.01
-9.260e-01,-0.04,0,0.03
-9.258e-01,-0.01,-0.01,0.01
-9.256e-01,-0.02,0.01,0.03
-9.254e-01,-0.01,0.01,0.01
-9.252e-01,-0.02,0.01,0
-9.250e-01,-0.01,-0.02,0.02
-9.248e-01,-0.01,0,0.02
-9.246e-01,-0.02,0.03,0.02
-9.244e-01,1.42109e-16,0.01,0.02
-9.242e-01,1.42109e-16,0.01,0
-9.240e-01,0.01,0.01,0.01
-9.238e-01,-0.01,0,0.02
-9.236e-01,-0.02,0,0.02
-9.234e-01,1.42109e-16,0.02,0.01
-9.232e-01,1.42109e-16,0.02,0.03
-9.230e-01,-0.02,0.02,0.02
-9.228e-01,-0.04,0,0.01
-9.226e-01,-0.02,0.01,0.02
-9.224e-01,-0.02,0.01,0.01
-9.222e-01,-0.02,0,-0.01
-9.220e-01,1.42109e-16,0.01,0
-9.218e-01,1.42109e-16,0.01,0.02
-9.216e-01,0.01,0,0.01
-9.214e-01,-0.01,-0.02,0.01
-9.212e-01,0.02,0.01,0.01
-9.210e-01,-0.03,-0.03,0
